"","X.log10P","log2FC","feature","SigDiff","norm"
"lardur.16",186.244818351948,0.613325092487664,"lardur.16","UP",186.245828223397
"larct.18",101.608223120136,0.820087525389036,"larct.18","UP",101.611532559944
"lardur.18",226.498373054322,1.09122045456603,"lardur.18","UP",226.501001671814
"lardist.18",160.9881007767,0.630630338748667,"lardist.18","UP",160.989335939724
"larct.19",102.897032415721,0.602371380944703,"larct.19","UP",102.89879557722
"lardur.19",218.735564157529,0.691798748405074,"lardur.19","UP",218.736658136721
"lardur.20",189.71219827007,0.824933343119905,"lardur.20","UP",189.713991807359
"larct.21",116.199572354905,0.717903228556424,"larct.21","UP",116.201790005612
"lardur.21",227.902458744901,1.11925499957743,"lardur.21","UP",227.905207122886
"lardist.21",201.027056991894,0.740319115596875,"lardist.21","UP",201.028420167934
"smldur.22",70.6441628082999,0.736857181196831,"smldur.22","UP",70.648005615099
"smldist.22",107.013240269285,0.611087638207328,"smldist.22","UP",107.01498503029
"larct.23",101.289479790975,0.64182121511211,"larct.23","UP",101.29151322198
"larct.24",107.025235823416,0.62313697642011,"larct.24","UP",107.027049864738
"smlct.25",31.664273279256,0.633798532827788,"smlct.25","UP",31.6706157642004
"larct.25",107.352094613146,0.71738588693004,"larct.25","UP",107.354491570407
"lardur.25",183.231585308451,0.694214690274102,"lardur.25","UP",183.232900399149
"lardist.25",161.707276250127,0.619821320986462,"lardist.25","UP",161.70846412821
"larct.26",118.54162150869,0.715219593524159,"larct.26","UP",118.543779123902
"lardur.26",206.104676427179,0.930170864362606,"lardur.26","UP",206.106775393215
"inadist.27",13.2865157729521,0.596210967936517,"inadist.27","UP",13.299886048504
"smlct.27",27.6121869104426,0.641090908175038,"smlct.27","UP",27.6196282293908
"larct.27",111.57789659696,0.789501834796874,"larct.27","UP",111.580689736841
"smlct.28",26.2707820823505,0.589948262680235,"smlct.28","UP",26.277405316564
"smldist.28",70.7240049282542,0.627992313854128,"smldist.28","UP",70.7267929955684
"larct.28",127.268295049968,0.926845804065111,"larct.28","UP",127.271669935104
"lardur.28",218.55257230427,1.07313627977772,"lardur.28","UP",218.555206943894
"larct.29",128.492247889978,0.839936403795688,"larct.29","UP",128.494993135849
"lardur.29",214.099632871344,0.898189277724207,"lardur.29","UP",214.101516901732
"lardist.29",186.163756620417,0.747226371790751,"lardist.29","UP",186.16525622757
"larct.30",102.865820461437,0.694676336814319,"larct.30","UP",102.868166088531
