"","X.log10P","log2FC","feature","SigDiff","norm"
"lardist.106",192.361510743045,1.38092782718551,"lardist.106","UP",192.366467392346
"smldist.107",76.461958816207,0.643481474677652,"smldist.107","UP",76.4646664441793
"smldist.110",97.5592595432453,0.816541686493609,"smldist.110","UP",97.5626765876792
"lardist.111",168.630112033379,0.638664226488307,"lardist.111","UP",168.631321457148
"inadist.115",16.0792935176134,0.599856830151453,"inadist.115","UP",16.0904788071158
"lardist.121",177.143673980223,1.07806514614477,"lardist.121","UP",177.146954406986
"lardist.122",162.47749300264,0.68173814724322,"lardist.122","UP",162.478923246446
"smldist.124",100.665764981909,0.617251089644994,"smldist.124","UP",100.667657359753
"lardist.124",196.623423042944,0.932486932759516,"lardist.124","UP",196.625634190977
"lardist.125",211.931814138254,1.0942044220668,"lardist.125","UP",211.934638809348
"lardist.126",184.536844401417,0.947824591167824,"lardist.126","UP",184.539278510263
"inadist.127",18.1375694729685,0.627203671917629,"inadist.127","UP",18.148410697161
"smldist.130",86.3264791093267,0.66811266836272,"smldist.130","UP",86.3290644565934
"lardist.130",196.187655650293,0.941080985426565,"lardist.130","UP",196.189912745226
"lardist.135",172.488724469046,0.862261888632546,"lardist.135","UP",172.490879656065
"lardist.139",177.97288571842,1.10844258185691,"lardist.139","UP",177.976337460627
"lardist.141",186.904758976898,0.932582132910324,"lardist.141","UP",186.907085573681
"inadist.143",16.6513512237763,0.605771215461346,"inadist.143","UP",16.6623664688735
"lardist.144",160.033107242363,0.72530303483258,"lardist.144","UP",160.034750845365
"lardist.146",192.072629636961,1.27309007966746,"lardist.146","UP",192.076848719486
"smldist.149",95.2193237745859,0.736488569049666,"smldist.149","UP",95.2221719742926
"lardist.152",189.243789133106,0.741749215856048,"lardist.152","UP",189.245242786588
"smldist.155",96.586168161524,0.716735706180176,"smldist.155","UP",96.5888274605231
"lardist.159",198.713319030645,1.21691098207884,"lardist.159","UP",198.717045148405
"smldist.162",116.281455176081,1.00215539451109,"smldist.162","UP",116.285773563673
"lardist.163",207.296203040355,1.36896691127052,"lardist.163","UP",207.300723262974
"lardist.164",202.569215681533,0.733022653771537,"lardist.164","UP",202.570541945374
"lardist.166",188.288795539247,1.25713102813689,"lardist.166","UP",188.292992179853
"smldist.167",119.53726067144,0.608335751239325,"smldist.167","UP",119.53880859879
"lardist.167",174.98091893071,0.623324768514416,"lardist.167","UP",174.982029144718
"smldist.172",108.043008782133,0.883016047663218,"smldist.172","UP",108.046617087424
"lardist.172",193.541140062255,0.870248393996728,"lardist.172","UP",193.543096567314
"smldist.173",91.9914722046205,0.683041672119674,"smldist.173","UP",91.9940079804077
"lardist.175",192.588189772217,0.923567641574268,"lardist.175","UP",192.590404270119
"lardist.178",210.902222265461,1.17562420871952,"lardist.178","UP",210.905498858588
"lardist.179",196.693574972449,1.28079519763225,"lardist.179","UP",196.697744958555
"smldist.180",83.5482293854801,0.780079475179854,"smldist.180","UP",83.5518710588602
"lardist.180",211.931814138254,0.639010181059335,"lardist.180","UP",211.932777497826
"smldist.183",92.1435938341337,0.716609209218377,"smldist.183","UP",92.1463803598847
"lardist.183",136.205113791973,-0.819737629339133,"lardist.183","DOWN",136.207580526435
"lardist.185",202.443697499233,0.854189932754919,"lardist.185","UP",202.445499573594
"smldist.190",89.6313382074941,0.680372146211699,"smldist.190","UP",89.6339204493675
"lardist.200",167.650592535943,0.748031367045626,"lardist.200","UP",167.652261328558
"lardist.203",208.336593571456,1.55979875568001,"lardist.203","UP",208.342432531437
"smldist.204",106.594341636076,0.694985919459915,"smldist.204","UP",106.596607236144
"smldist.205",93.9538682789277,0.718021744264657,"smldist.205","UP",93.9566119003837
"lardist.206",201.415668775632,0.689356958396689,"lardist.206","UP",201.416848454521
"lardist.211",146.906828556551,0.674206636889965,"lardist.211","UP",146.908375633022
"lardist.215",174.10273354355,0.604918395123045,"lardist.215","UP",174.103784432163
"smldist.232",89.8401321529074,0.746314312351845,"smldist.232","UP",89.8432319671587
"lardist.232",176.324511091514,0.773230375349204,"lardist.232","UP",176.326206494879
"lardist.233",168.992281644748,-0.855426947143443,"lardist.233","DOWN",168.994446686155
"lardist.235",213.679853713889,0.970729744883174,"lardist.235","UP",213.682058674627
"smldist.236",104.533770713822,0.676980305627745,"smldist.236","UP",104.535962816555
"smldist.237",76.7947265120659,0.592262551938089,"smldist.237","UP",76.7970103258807
"lardist.237",219.189287545519,1.6932449369159,"lardist.237","UP",219.195827636223
"lardist.244",203.646241093654,0.864699377251398,"lardist.244","UP",203.648076879178
"smldist.245",112.15510214182,0.669383422200597,"smldist.245","UP",112.15709968882
