"","X.log10P","log2FC","feature","SigDiff","norm"
"smldur.86",59.3083292344055,0.750834493859736,"smldur.86","UP",59.3130817696552
"smldur.89",51.5305655739466,0.635165783700013,"smldur.89","UP",51.534479952199
"smldur.91",54.1638568026387,0.652254203234637,"smldur.91","UP",54.1677839613398
"lardur.98",208.405734977002,0.960540922962875,"lardur.98","UP",208.407948529247
"smldur.100",42.8431072029855,0.750194408735999,"smldur.100","UP",42.8496747532278
"lardur.100",231.396584954587,1.16520661759065,"lardur.100","UP",231.399518657898
"smldur.106",49.4211162294779,0.638581894493571,"smldur.106","UP",49.4252416908965
"lardur.106",224.783251213781,1.32872734377431,"lardur.106","UP",224.787178332288
"lardur.113",228.047207556956,0.747757765965466,"lardur.113","UP",228.048433487717
"inadur.115",48.1459162363656,0.633519329485273,"inadur.115","UP",48.1500840807154
"lardur.121",221.311758204022,0.805512886448435,"lardur.121","UP",221.313224119947
"lardur.122",191.592282337195,0.702082078151422,"lardur.122","UP",191.593568708399
"lardur.124",216.991775678094,0.962681429829667,"lardur.124","UP",216.993911129939
"smldur.126",57.6571575081428,0.589580710148453,"smldur.126","UP",57.6601718461935
"lardur.126",210.129303542011,0.719463140146081,"lardur.126","UP",210.130535225751
"inadur.127",33.4137342758553,0.658525194038549,"inadur.127","UP",33.4202228252393
"smldur.127",47.3631779024128,0.673713939734434,"smldur.127","UP",47.3679692565366
"smldur.129",63.0903027138111,0.630786643477969,"smldur.129","UP",63.0934559864168
"smldur.130",51.7563784181632,0.632158921628652,"smldur.130","UP",51.7602389085127
"lardur.130",219.340938313878,1.10757284911255,"lardur.130","UP",219.343734667824
"lardur.132",225.87801830587,0.632268198759176,"lardur.132","UP",225.878903213341
"smldur.133",48.252024497824,0.589426247609328,"smldur.133","UP",48.255624453943
"lardur.135",203.72160369605,0.855006185124911,"lardur.135","UP",203.723397890539
"lardur.138",190.454692883534,0.707564490540582,"lardur.138","UP",190.456007227049
